,Admin_Dose_1_Daily,Booster_Daily,new_case,new_death,Population Staying at Home,Population Not Staying at Home,Number of Trips
2020-12-13,121.0,0.0,5416,80,2824126.0,7663958.0,26997271.0
2020-12-14,35.0,0.0,4158,57,2633024.0,7855060.0,29452421.0
2020-12-15,885.0,0.0,5418,81,2531246.0,7956838.0,31061593.0
2020-12-16,3510.0,0.0,6111,68,2681653.0,7806431.0,28276191.0
2020-12-17,4872.0,0.0,7234,84,2508980.0,7979104.0,31537642.0
2020-12-18,10449.0,0.0,7722,68,2610452.0,7877632.0,33191461.0
2020-12-19,4540.0,0.0,6404,74,2761647.0,7726437.0,32032082.0
2020-12-20,4443.0,0.0,5640,64,2873923.0,7614161.0,24100396.0
2020-12-21,10820.0,0.0,4736,65,2755127.0,7732957.0,30583056.0
2020-12-22,13190.0,0.0,5403,75,2820738.0,7667346.0,32420342.0
2020-12-23,15242.0,0.0,6869,79,2850419.0,7637665.0,33414137.0
2020-12-24,3428.0,0.0,6958,66,2929391.0,7558693.0,27803816.0
2020-12-25,10.0,0.0,5445,77,3141040.0,7347044.0,16974623.0
2020-12-26,2244.0,0.0,4037,74,2923439.0,7564645.0,27756977.0
2020-12-27,1605.0,0.0,2777,72,2958734.0,7529350.0,26479383.0
2020-12-28,15192.0,0.0,4176,80,2675409.0,7812675.0,30456007.0
2020-12-29,18813.0,0.0,4894,102,2611031.0,7877053.0,31329017.0
2020-12-30,20580.0,0.0,8009,83,2581079.0,7907005.0,31731248.0
2020-12-31,12503.0,0.0,10281,94,2556877.0,7931207.0,32087779.0
2021-01-01,863.0,0.0,11001,81,3087015.0,7401069.0,25273003.0
2021-01-02,5235.0,0.0,6438,116,2705224.0,7782860.0,30282585.0
2021-01-03,3421.0,0.0,6547,83,2962762.0,7525322.0,26577322.0
2021-01-04,14294.0,0.0,4754,83,2429620.0,8058464.0,32161522.0
2021-01-05,18928.0,0.0,7826,129,2395732.0,8092352.0,30903804.0
2021-01-06,29744.0,0.0,8841,92,2265820.0,8222264.0,32054352.0
2021-01-07,29879.0,0.0,10647,104,2229667.0,8258417.0,32575065.0
2021-01-08,21121.0,0.0,10939,101,2417040.0,8071044.0,30639577.0
2021-01-09,7092.0,0.0,9495,95,2424839.0,8063245.0,32072098.0
2021-01-10,3840.0,0.0,7989,93,2575866.0,7912218.0,28805789.0
2021-01-11,25731.0,0.0,5772,91,2408059.0,8080025.0,30839550.0
2021-01-12,37715.0,0.0,5783,113,2372273.0,8115811.0,30723956.0
2021-01-13,38418.0,0.0,7630,106,2330612.0,8157472.0,31974075.0
2021-01-14,43107.0,0.0,7934,95,2277339.0,8210745.0,32346667.0
2021-01-15,39998.0,0.0,9064,101,2240424.0,8247660.0,34944447.0
2021-01-16,17987.0,0.0,7234,129,2449866.0,8038218.0,35860849.0
2021-01-17,9574.0,0.0,6330,101,2366482.0,8121602.0,31761851.0
2021-01-18,20228.0,0.0,4163,85,2105995.0,8382089.0,35468821.0
2021-01-19,46745.0,0.0,5382,111,2424354.0,8063730.0,30567386.0
2021-01-20,57323.0,0.0,6458,124,2355212.0,8132872.0,31579270.0
2021-01-21,62885.0,0.0,7095,113,2197600.0,8290484.0,33356055.0
2021-01-22,66427.0,0.0,6818,98,2103594.0,8384490.0,35141964.0
2021-01-23,38278.0,0.0,6661,92,2196885.0,8291199.0,34155242.0
2021-01-24,16492.0,0.0,5261,90,2459395.0,8028689.0,30376562.0
2021-01-25,36577.0,0.0,3750,76,2329390.0,8158694.0,29955245.0
2021-01-26,37849.0,0.0,4697,100,2226272.0,8261812.0,31997905.0
2021-01-27,38657.0,0.0,5361,79,2217320.0,8270764.0,32114715.0
2021-01-28,33264.0,0.0,6414,111,2321199.0,8166885.0,30705031.0
2021-01-29,38381.0,0.0,5137,85,2172504.0,8315580.0,33721098.0
2021-01-30,22158.0,0.0,5811,90,2212213.0,8275871.0,33709659.0
2021-01-31,11743.0,0.0,4328,77,2656900.0,7831184.0,27872744.0
2021-02-01,19994.0,0.0,2734,85,2286378.0,8201706.0,33172569.0
2021-02-02,22869.0,0.0,10529,93,2249869.0,8238215.0,33461987.0
2021-02-03,31289.0,0.0,4579,64,2173451.0,8314633.0,32926636.0
2021-02-04,42476.0,0.0,5522,56,2125676.0,8362408.0,33240601.0
2021-02-05,41508.0,0.0,4468,69,2048823.0,8439261.0,35410216.0
2021-02-06,26712.0,0.0,4481,56,2116831.0,8371253.0,34633885.0
2021-02-07,4607.0,0.0,3285,54,2425544.0,8062540.0,32837859.0
2021-02-08,22313.0,0.0,2693,67,2225243.0,8262841.0,35900759.0
2021-02-09,16543.0,0.0,3246,57,2213109.0,8274975.0,36701444.0
2021-02-10,29830.0,0.0,3748,63,2167830.0,8320254.0,36209695.0
2021-02-11,1079681.0,0.0,4236,62,2119010.0,8369074.0,36054081.0
2021-02-12,76834.0,0.0,3711,39,2047474.0,8440610.0,34525133.0
2021-02-13,72597.0,0.0,3609,55,2395113.0,8092971.0,31927358.0
2021-02-14,59230.0,0.0,2460,53,2387521.0,8100563.0,32149748.0
